year,name,author,genre,price,quantity,url
2006,Year One,George Orwell,Self-Help,73,18,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2002,"Journey, The",Virginia Woolf,Fantasy,4,31,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2013,"Trouble with Angels, The",Harper Lee,Graphic Novels,95,55,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1998,Drug War (Du zhan),F. Scott Fitzgerald,Science Fiction,14,32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2000,"Street with No Name, The",F. Scott Fitzgerald,Autobiography,58,99,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2005,"Dragonphoenix Chronicles: Indomitable, The",Ernest Hemingway,Fiction,5,85,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2008,American Gothic,George Orwell,Thriller,58,30,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2011,One Body Too Many,Harper Lee,Historical Fiction,42,1,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1996,"Girasoli, I (Sunflower)",William Shakespeare,Historical Fiction,68,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1999,Evelyn Prentice,Agatha Christie,Horror,75,64,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2006,"Asphalt Jungle, The",J.R.R. Tolkien,Horror,88,95,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1997,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom)",Virginia Woolf,Romance,46,45,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1997,Take the High Ground!,Charles Dickens,Science Fiction,17,62,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2008,People on Sunday (Menschen am Sonntag),Harper Lee,Science Fiction,66,31,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2004,Goya: Crazy Like a Genius,George Orwell,Horror,68,24,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2011,Age of Tomorrow,Agatha Christie,Fantasy,14,100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2004,"Moment After 2, The: The Awakening",Charles Dickens,Children's,34,9,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1990,Open Range,Virginia Woolf,Romance,20,66,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2000,"Kidnapping, Caucasian Style (Kavkazskaya plennitsa)",J.R.R. Tolkien,Historical Fiction,80,4,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2011,"Private Life of Sherlock Holmes, The",Charles Dickens,Biography,94,18,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2003,Out of Life (Hors la vie),Harper Lee,Historical Fiction,53,87,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1971,"Kill, Baby, Kill (Operazione paura)",J.K. Rowling,Travel,28,54,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1998,Children of the Corn 666: Isaac's Return,George Orwell,Self-Help,74,68,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2012,Dragon Ball Z: Super Android 13! (Doragon bôru Z 7: Kyokugen batoru!! San dai sûpâ saiyajin),George Orwell,Autobiography,57,48,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1992,Juvenile Court,Jane Austen,Fiction,78,24,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1995,"Lost Thing, The",Agatha Christie,Fiction,95,64,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1988,Soldier in the Rain,Virginia Woolf,Autobiography,16,78,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2001,My Life as a Dog (Mitt liv som hund),J.R.R. Tolkien,Young Adult,84,29,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1990,The Stone Council,J.K. Rowling,Science,55,66,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2011,Texas Chainsaw 3D,Mark Twain,Thriller,81,19,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2005,Up the Academy,Ernest Hemingway,Horror,96,84,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2000,The End of the Tour,J.R.R. Tolkien,Autobiography,43,74,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2005,Sucker Punch,Mark Twain,Autobiography,45,64,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2000,Addams Family Values,J.R.R. Tolkien,Non-Fiction,81,86,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2007,Gold Diggers of 1935,J.R.R. Tolkien,Fantasy,93,48,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1995,"Thrill of Brazil, The",George Orwell,Poetry,98,55,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1989,Wolf Creek 2,Stephen King,Non-Fiction,10,91,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2010,"Big House, The",Agatha Christie,Non-Fiction,43,35,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2002,I Am Dina,William Shakespeare,Biography,66,65,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2006,"Suit for Wedding, A (a.k.a. The Wedding Suit) (Lebassi Baraye Arossi)",William Shakespeare,Graphic Novels,7,33,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2004,Hear No Evil,Charles Dickens,Mystery,18,78,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2003,Escape from the Planet of the Apes,Jane Austen,Self-Help,95,29,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2010,Paperman,Mark Twain,Biography,14,77,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1977,Doctor at Sea,F. Scott Fitzgerald,Science Fiction,80,11,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2003,Dinner with Friends,F. Scott Fitzgerald,Autobiography,70,60,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2007,Sayonara,Ernest Hemingway,Thriller,83,47,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1997,Thieves Like Us,Mark Twain,Fantasy,40,58,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1992,Jungleground,Jane Austen,Science,5,23,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2004,Are All Men Pedophiles,Jane Austen,Poetry,77,79,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2004,American Vagabond,Harper Lee,Autobiography,10,79,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1995,Big Girls Don't Cry... They Get Even (Stepkids),Virginia Woolf,Graphic Novels,41,11,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1998,Almanya - Welcome to Germany (Almanya - Willkommen in Deutschland),Charles Dickens,Science Fiction,28,74,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2010,Child's Pose,J.K. Rowling,Historical Fiction,39,83,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1996,Germinal,J.K. Rowling,Self-Help,40,84,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1995,The Road to Glory,J.K. Rowling,Poetry,50,5,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2005,"Pope of Greenwich Village, The",William Shakespeare,Autobiography,81,42,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1987,"Alphabet Killer, The",Ernest Hemingway,Fiction,27,38,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2013,"Expendables, The",Ernest Hemingway,Children's,31,61,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2001,Parking (Ting che),J.K. Rowling,Graphic Novels,83,7,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1984,Scooby-Doo! and the Witch's Ghost,Jane Austen,Travel,54,6,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2011,Night of Dark Shadows,J.K. Rowling,Poetry,54,68,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2012,Daughters of the Dust,Jane Austen,Autobiography,52,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2002,"Grass Harp, The",Mark Twain,Romance,11,12,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2009,"Bye Bye, Love",Stephen King,Young Adult,90,68,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1998,Wend Kuuni (a.k.a. God's Gift),Agatha Christie,Children's,72,67,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2009,"Lawless Heart, The",J.R.R. Tolkien,Technology,66,30,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2001,Saw,Stephen King,Cookbooks,35,94,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1989,My Blue Heaven,J.K. Rowling,Thriller,29,85,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2009,"Monkey's Tale, A (Château des singes, Le)",J.K. Rowling,Autobiography,53,42,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2005,Whatever Works,George Orwell,Technology,76,34,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1995,Yamakasi - Les samouraïs des temps modernes,George Orwell,Autobiography,71,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1992,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women),Stephen King,Poetry,84,96,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1996,Never Ever! (Nigdy w zyciu!),J.R.R. Tolkien,Science Fiction,36,88,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2010,Stephen Tobolowsky's Birthday Party,Jane Austen,Historical Fiction,6,60,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2004,Yumurta (Egg),Ernest Hemingway,Technology,13,45,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1995,Lumiere and Company (Lumière et compagnie),William Shakespeare,Romance,44,5,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1990,C.S.A.: The Confederate States of America,Charles Dickens,Travel,86,69,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1993,Frozen Planet,J.R.R. Tolkien,Horror,30,71,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1994,"Asthenic Syndrome, The (Astenicheskiy sindrom)",Agatha Christie,Fantasy,41,56,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2009,"Porn Theater (Chatte à deux têtes, La)",George Orwell,Poetry,73,21,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1994,Orgazmo,Agatha Christie,Biography,87,98,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2009,Hearts of Darkness: A Filmmakers Apocalypse,Stephen King,Mystery,83,28,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2006,The Shooting,Harper Lee,Fantasy,26,60,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1968,Girls Rock!,Jane Austen,Fiction,88,17,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1999,Titanic,Harper Lee,Historical Fiction,86,24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1992,Alice in the Cities (Alice in den Stadten),F. Scott Fitzgerald,Biography,55,69,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1997,Captain Blood,Stephen King,Cookbooks,46,9,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2003,Death of a Cyclist (Muerte de un ciclista),Agatha Christie,Non-Fiction,98,8,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1992,Career,Charles Dickens,Fiction,75,82,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2006,Tobor the Great,Stephen King,Science,45,33,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2012,Charlie Chan on Broadway,Stephen King,Fantasy,66,73,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2010,Clueless,Stephen King,Fiction,71,13,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2000,Code Name Coq Rouge,Virginia Woolf,Mystery,11,25,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2005,Tarzan the Fearless,George Orwell,Poetry,16,63,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2002,Imago mortis,Ernest Hemingway,Fantasy,15,19,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2002,"Cosmonaut, The",William Shakespeare,Travel,83,44,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2007,The Inspector,William Shakespeare,Graphic Novels,22,100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2010,"Blood Spattered Bride, The (La novia ensangrentada)",Jane Austen,Science Fiction,93,46,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1996,Houseguest,Virginia Woolf,Cookbooks,57,97,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2012,"Clonus Horror, The",J.K. Rowling,Biography,73,96,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2011,Leila,Virginia Woolf,Children's,3,12,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2005,"Twilight Saga: Breaking Dawn - Part 2, The",William Shakespeare,Technology,70,59,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2000,The Land Before Time XI: Invasion of the Tinysauruses,Virginia Woolf,Autobiography,70,32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2010,"X, Y and Zee (Zee and Co.)",Stephen King,Biography,13,21,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1996,Melbourne,Jane Austen,Children's,13,93,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1992,Corto Maltese in Siberia (Corto Maltese - La cour secrète des Arcanes),Virginia Woolf,Cookbooks,29,37,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1992,Imitation of Life,Charles Dickens,Non-Fiction,71,21,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1993,Jill the Ripper (Jill Rips),J.R.R. Tolkien,Historical Fiction,93,81,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2003,The Emperor's Club,Charles Dickens,Thriller,73,17,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2006,"Adventures of Huck Finn, The",Jane Austen,Thriller,67,51,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2009,Samurai Vendetta,Virginia Woolf,Children's,43,14,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2007,Family Meeting,J.R.R. Tolkien,Poetry,64,54,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2003,Brideshead Revisited,F. Scott Fitzgerald,Young Adult,57,58,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2010,Frenchmen (Le coeur des hommes),Harper Lee,Fiction,9,87,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1998,Nobody Knows Anybody (Nadie conoce a nadie),Charles Dickens,Poetry,91,92,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1998,"Saint in London, The",Stephen King,Autobiography,27,44,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2011,"Best Man Holiday, The",F. Scott Fitzgerald,Non-Fiction,67,28,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2012,À nous la liberté (Freedom for Us),Ernest Hemingway,Thriller,54,94,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1991,Last Run,Mark Twain,Fiction,35,71,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2005,"Croods, The",J.R.R. Tolkien,Fantasy,13,19,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2013,"Man with Two Brains, The",Agatha Christie,Children's,72,21,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2000,Possession,Agatha Christie,Poetry,58,64,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2011,"Conversation, The",Ernest Hemingway,Graphic Novels,10,35,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2009,Predestination,George Orwell,Biography,37,16,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2011,Journeys with George,F. Scott Fitzgerald,Young Adult,46,60,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1986,Earth to Echo,F. Scott Fitzgerald,Children's,64,13,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2003,Reconstruction (Anaparastasi),Agatha Christie,Children's,1,81,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1992,Time Out (L'emploi du temps),F. Scott Fitzgerald,Self-Help,83,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1989,Patsy,Harper Lee,Science Fiction,5,77,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1993,A Mulher Invisível,Mark Twain,Technology,89,6,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2001,Commando,Mark Twain,Mystery,54,100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1996,Black Cadillac,Jane Austen,Biography,40,98,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2010,Missing in Action,George Orwell,Technology,43,79,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1990,Dawn of the Planet of the Apes,F. Scott Fitzgerald,Cookbooks,41,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1997,The Party,William Shakespeare,Historical Fiction,48,47,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1964,"Best Man, The",Mark Twain,Science,50,41,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2010,Police Story (Ging chaat goo si),Jane Austen,Fantasy,66,68,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2011,Picnic at Hanging Rock,Virginia Woolf,Children's,47,52,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2012,Dead Ahead: The Exxon Valdez Disaster,F. Scott Fitzgerald,Travel,65,79,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1992,I Love Sarah Jane,Harper Lee,Non-Fiction,56,49,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2012,Eternity and a Day (Mia aoniotita kai mia mera),Virginia Woolf,Self-Help,28,82,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2012,"Prefab People, The (Panelkapcsolat)",Charles Dickens,Self-Help,52,22,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1993,"Fighting Temptations, The",Virginia Woolf,Biography,90,61,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2010,"Ugly Truth, The",Mark Twain,Science Fiction,39,42,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2013,Parisian Love,J.R.R. Tolkien,Young Adult,70,16,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1993,Perfect Blue,Stephen King,Self-Help,45,11,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1995,Faster,Ernest Hemingway,Fantasy,78,69,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1993,La Bandera,J.R.R. Tolkien,Romance,61,45,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1992,Oppai Volleyball (Oppai barê),Jane Austen,Fiction,76,94,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1999,Inferno,Charles Dickens,Cookbooks,65,88,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
